x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.351742,0.509003,0.501226,0.474781,0.627989,0.340779,0.673778,0.202859,0.653188,0.099018,0.553816,0.201756,0.565219,0.10441,0.543033,0.197189,0.533068,0.282845,0.454337,0.192903,0.471727,0.108716,0.462601,0.234892,0.450273,0.328041,0.367801,0.208153,0.380513,0.127598,0.379101,0.257126,0.371131,0.346227,0.284222,0.233313,0.295727,0.172918,0.30416,0.266202,0.310617,0.334858,A
0.631222,0.686296,0.730218,0.616789,0.797214,0.518398,0.80455,0.420687,0.784322,0.346291,0.737624,0.445677,0.723693,0.379368,0.722732,0.448098,0.731134,0.50521,0.666528,0.454582,0.662403,0.390844,0.67454,0.481885,0.683745,0.546311,0.603143,0.474181,0.600851,0.415743,0.619904,0.505735,0.630468,0.567844,0.538407,0.500435,0.540612,0.453732,0.562636,0.514405,0.576803,0.561853,A
0.771746,0.413507,0.856331,0.368134,0.911183,0.287864,0.919298,0.210431,0.901965,0.15329,0.859562,0.209883,0.861704,0.147842,0.868776,0.204375,0.873671,0.260339,0.803688,0.214668,0.810093,0.156581,0.823513,0.227429,0.825669,0.288404,0.74671,0.228876,0.7567,0.170291,0.773816,0.243233,0.777568,0.304095,0.684476,0.251018,0.701381,0.202374,0.721257,0.255736,0.728145,0.305414,A
0.538577,0.716556,0.66713,0.649579,0.745901,0.532333,0.751303,0.39576,0.728137,0.301819,0.722516,0.42802,0.696529,0.315215,0.677724,0.396306,0.668087,0.474679,0.630308,0.435358,0.607707,0.330852,0.610866,0.427937,0.608123,0.506627,0.54676,0.454225,0.523192,0.365456,0.536105,0.460189,0.54261,0.534791,0.463006,0.474864,0.447244,0.403843,0.455779,0.472805,0.465613,0.532651,A
0.540872,0.613424,0.616954,0.573297,0.664832,0.478505,0.673759,0.392796,0.678541,0.325162,0.630532,0.408831,0.625457,0.343928,0.616786,0.39656,0.613461,0.455502,0.567459,0.417593,0.562799,0.358185,0.565082,0.429166,0.568975,0.492208,0.510339,0.435886,0.501973,0.398429,0.510337,0.476663,0.519623,0.535103,0.457152,0.461505,0.452323,0.427252,0.460395,0.477489,0.470026,0.518199,A
0.706084,0.743009,0.805002,0.684723,0.870722,0.552189,0.889617,0.431589,0.876449,0.34398,0.844032,0.567904,0.81559,0.390227,0.803762,0.423675,0.804799,0.474358,0.766342,0.585072,0.744008,0.407498,0.741861,0.457594,0.748658,0.512712,0.68084,0.591968,0.676219,0.446786,0.678077,0.500206,0.685119,0.551725,0.591893,0.585619,0.609628,0.47877,0.61236,0.522157,0.612277,0.564969,A
0.318872,0.719877,0.408328,0.657074,0.470574,0.558927,0.474356,0.459654,0.444647,0.395666,0.415984,0.493102,0.390339,0.432991,0.37552,0.494892,0.37837,0.548181,0.346788,0.507892,0.319132,0.452431,0.324698,0.533339,0.338812,0.589644,0.293254,0.530021,0.264941,0.488286,0.277982,0.566028,0.294095,0.616377,0.245764,0.55745,0.224722,0.524904,0.237795,0.578573,0.256133,0.618409,A
0.724708,0.760164,0.827007,0.734771,0.89517,0.646598,0.908338,0.558529,0.897391,0.500368,0.859843,0.573411,0.861872,0.506118,0.85255,0.569762,0.848395,0.622167,0.797656,0.572871,0.807076,0.505532,0.806802,0.587516,0.800362,0.645073,0.738966,0.580605,0.752922,0.523937,0.755973,0.607405,0.752182,0.66249,0.679416,0.593573,0.694127,0.559405,0.70257,0.617323,0.704908,0.659697,A
0.589934,0.523083,0.678247,0.466499,0.731689,0.372925,0.726424,0.285152,0.697221,0.227987,0.662584,0.29845,0.650008,0.232976,0.664475,0.29471,0.674769,0.349208,0.604296,0.31271,0.600724,0.247539,0.625455,0.327438,0.633276,0.387826,0.549736,0.335797,0.550203,0.271611,0.5779,0.352632,0.586847,0.410471,0.492152,0.366716,0.499512,0.316479,0.525365,0.373173,0.537315,0.41836,A
0.525418,0.591518,0.602916,0.534852,0.650451,0.456608,0.646653,0.381018,0.623895,0.324616,0.59491,0.400332,0.581728,0.348262,0.581104,0.392589,0.586959,0.441896,0.539617,0.40679,0.531419,0.365305,0.540657,0.426908,0.551741,0.478326,0.491467,0.421715,0.482264,0.386909,0.496105,0.447096,0.508899,0.494348,0.444286,0.443023,0.438135,0.398004,0.453729,0.437329,0.469224,0.476376,A
